content_id,doi,name,content_type,item_type,creator,primary_creator,resource_sub_type,resource_type,publisher_name,journal,book_title,book_subtitle,container_name,collection_name,iiif_url,platform_metadata,hierarchy
0a817704-b271-3e85-b50e-ae24182ae834,10.2307/20119881,Isabel Allende's Fictional World: Roads to Freedom,journal,article,"[""Z. Nelly Martinez""]",Z. Nelly Martinez,,,"[""Latin American Literary Review""]",Latin American Literary Review,,,,,,TRUE,"{""journal"":[{""id"":""latinamerlitrev"",""title"":""Latin American Literary Review""}],""issue"":[{""id"":""10.2307/i20119875"",""title"":""Vol. 30, No. 60, Isabel Allende Today (Jul. - Dec., 2002)""}],""publisher"":[{""id"":""lalr"",""title"":""Latin American Literary Review""}]}"
0b1f126d-9554-3815-a00d-bae84fe74c66,10.2307/2168743,Review: [Untitled],journal,article,"[""V. P. Franklin""]",V. P. Franklin,,,"[""Oxford University Press"", ""American Historical Association""]",The American Historical Review,,,,,,TRUE,"{""journal"":[{""id"":""amerhistrevi"",""title"":""The American Historical Review""}],""issue"":[{""id"":""10.2307/i311580"",""title"":""Vol. 100, No. 3 (Jun., 1995)""}],""publisher"":[{""id"":""oup"",""title"":""Oxford University Press""},{""id"":""aha"",""title"":""American Historical Association""}]}"
0c48326e-e03b-3964-85b4-0b5d5fb32d65,10.2307/ithaka.org.1003748640,"Letter from Chatham College President Edward Eddy to Rachel Carson dated December 19, 1963",contributed_documents,ccda_text,"[""Edward D. Eddy (academician and administrator, 1921-1998)""]","Edward D. Eddy (academician and administrator, 1921-1998)",Letters (Correspondence),Documents,,,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/62b3dc46-6c68-4191-a39d-150abce0b714_deflate.tif,TRUE,"{""collection"":[{""id"":""100117982"",""title"":""Chatham University - Rachel Carson Collection Test"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""id"":""100047621"",""title"":""JSTOR Internal Test"",""path"":""/jstortestportal""}]}"
0ecdfaa0-74d3-3ada-9d3c-c17794d6daf3,10.2307/2715168,Review: [Untitled],journal,article,"[""Mabel M. Smythe""]",Mabel M. Smythe,,,"[""Association for the Study of African American Life and History""]",The Journal of Negro History,,,,,,TRUE,"{""journal"":[{""id"":""jnegrohistory"",""title"":""The Journal of Negro History""}],""issue"":[{""id"":""10.2307/i327570"",""title"":""Vol. 29, No. 4 (Oct., 1944)""}],""publisher"":[{""id"":""asalh"",""title"":""Association for the Study of African American Life and History""}]}"
0f46f0e3-e521-308b-ab30-d5b33e4d6e82,10.7722/j.ctt4cg5xj.14,7. The Apartheid Endgame 1987–1996,book,chapter,"[""Timothy Gibbs""]",Timothy Gibbs,,,"[""Boydell and Brewer"", """"]",,Mandela's Kinsmen,Nationalist Elites and Apartheid's First Bantustan,,,,TRUE,"{""publisher"":[{""id"":""boydellbrewer"",""title"":""Boydell and Brewer""},{""id"":""jamescurrey"",""title"":""""}],""toc"":[{""id"":""10.7722/j.ctt4cg5xj"",""title"":""Mandela's Kinsmen: Nationalist Elites and Apartheid's First Bantustan""}]}"
11af31f7-29d6-3765-bf43-41db14bc9858,10.2307/struggles.1003338034,Paintings of Nicaragua by John Keane,contributed_images,ccda_text,[],,Posters,Images,,,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/20/05/eac65a3b-ac26-4a65-86a9-e29bd82c425d.jp2,TRUE,"{""compilation"":[{""id"":""1003322582"",""title"":""South African History Archive Posters"",""path"":""/struggles-for-freedom/southern-africa/south-african-history-archive-posters-1003322582""}],""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}],""portal"":[{""id"":""100046000"",""title"":""Primary Sources"",""path"":""/primary-sources""}]}"
1231a8af-b010-30b1-9e2f-d79aa2f16f3f,10.2307/struggles.1003323315,On Freedom Road,contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/22/08/263af57a-7301-4ab4-9496-c3658ef7ec30.jp2,TRUE,"{""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}],""portal"":[{""id"":""100046000"",""title"":""Struggles"",""path"":""/primary-sources""}]}"
12c0b3c4-a791-32fe-a0f5-8b97343f1ee8,10.2307/j.ctt3fgwp0.4,1 Writing Ingrid Jonker,book,chapter,"[""Louise Viljoen""]",Louise Viljoen,,,"[""Ohio University Press""]",,Ingrid Jonker,Poet under Apartheid,,,,TRUE,"{""publisher"":[{""id"":""ohiopress"",""title"":""Ohio University Press""}],""toc"":[{""id"":""10.2307/j.ctt3fgwp0"",""title"":""Ingrid Jonker: Poet under Apartheid""}]}"
1646be9b-68b0-33e7-bc73-671c4437405f,10.2307/41555055,Rachel Carson Remembered,journal,article,"[""Victor Lewis""]",Victor Lewis,,,"[""Reimagine!""]","Race, Poverty & the Environment",,,,,,TRUE,"{""journal"":[{""id"":""racepoveenvi"",""title"":""Race, Poverty & the Environment""}],""issue"":[{""id"":""10.2307/i40074997"",""title"":""Vol. 2, No. 1, Special Issue on Pesticides (Spring 1991), p. 5""}],""publisher"":[{""id"":""reimagine"",""title"":""Reimagine!""}]}"
17d5698c-95a5-30c9-b490-f01beb338cbe,10.2307/.1003329632,Chief Albert J. Lutuli: Statements and Addresses,contributed_documents,ccda_text,"[""United Nations Centre against Apartheid""]",United Nations Centre against Apartheid,Reports,Documents,"[""Department of Political and Security Council Affairs""]",,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/20/03/e5a8fde9-3d2f-4830-a261-fbf755dbd54f.jp2,TRUE,"{""compilation"":[{""id"":""1003322569"",""title"":""United Nations Centre against Apartheid, Notes and Documents"",""path"":""/struggles-for-freedom/southern-africa/united-nations-centre-against-apartheid,-notes-and-documents-1003322569""}],""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}]}"
18011d5e-a739-33a0-b055-639dbe87a664,10.2307/ithaka.org.1003748620,"""Triolet"" and ""March"" Poems by Rachel Carson Appearing in a 1928 issue of The Arrow",contributed_documents,ccda_text,"[""Carson, Rachel, 1907-1964""]","Carson, Rachel, 1907-1964",Poetry,Documents,"[""Chatham University""]",,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/6d98aaa9-31da-42db-b137-330328869a52_deflate.tif,TRUE,"{""collection"":[{""id"":""100117982"",""title"":""Chatham University - Rachel Carson Collection Test"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""id"":""100047621"",""title"":""JSTOR Internal Test"",""path"":""/jstortestportal""}]}"
18a5a005-8e3c-3adc-9221-c25cfa331ece,10.2307/41884025,The Road to Freedom,journal,article,"[""William H. Chesnut""]",William H. Chesnut,,,"[""Pi Gamma Mu, International Honor Society in Social Sciences""]",Social Science,,,,,,TRUE,"{""journal"":[{""id"":""sociscience"",""title"":""Social Science""}],""issue"":[{""id"":""10.2307/i40088468"",""title"":""Vol. 25, No. 2 (April 1950)""}],""publisher"":[{""id"":""pigammamu"",""title"":""Pi Gamma Mu, International Honor Society in Social Sciences""}]}"
191f44df-1fef-3d67-9961-f23ac5d7f44d,10.2307/.1003323283,On Freedom Road,contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,,,Struggles for Freedom: Southern Africa,,TRUE,
19ac0912-6770-3a25-b1df-9d1011ddfe67,10.2307/ithaka.org.1003748648,"Mary Scott Skinker with Students in Pennslvania College for Women 1928-1929 Yearbook, The Pennsylvanian ",contributed_images,ccda_text,"[""Chatham University""]",Chatham University,Photographs,Images,"[""Chatham University""]",,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/d2e1c467-1ba2-4735-962b-c53a1f7530a0_deflate.tif,TRUE,"{""collection"":[{""id"":""100117982"",""title"":""Chatham University - Rachel Carson Collection Test"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""id"":""100047621"",""title"":""JSTOR Internal Test"",""path"":""/jstortestportal""}]}"
19d83302-7a70-36eb-821d-49a4e5c27493,10.2307/struggles.1003326741,Selling Out To Apartheid: British Government Support For Trade With South Africa,contributed_books,ccda_text,"[""Anti-Apartheid Movement""]",Anti-Apartheid Movement,Pamphlets,Books,"[""Anti-Apartheid Movement""]",,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/19/22/8a19d8e3-7ef9-4ae3-8585-1886f0596b03.jp2,TRUE,"{""compilation"":[{""id"":""1003322637"",""title"":""Anti-Apartheid Movement Collection"",""path"":""/struggles-for-freedom/southern-africa/anti-apartheid-movement-collection-1003322637""}],""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}],""portal"":[{""id"":""100046000"",""title"":""Primary Sources"",""path"":""/primary-sources""}]}"
1b95151b-1393-3c7c-8eb2-c5c7cd6f1e57,10.5406/visuartsrese.39.2.0013,"Assembling Visuality: Social Media,
Everyday Imaging, and Critical
Thinking in Digital Visual Culture",journal,article,"[""Aaron D. Knochel""]",Aaron D. Knochel,,,"[""University of Illinois Press""]",Visual Arts Research,,,,,,TRUE,"{""journal"":[{""id"":""visuartsrese"",""title"":""Visual Arts Research""}],""issue"":[{""id"":""10.5406/visuartsrese.39.2.issue-2"",""title"":""Vol. 39, No. 2 (Winter 2013)""}],""publisher"":[{""id"":""illinois"",""title"":""University of Illinois Press""}]}"
1ebd8ec6-5691-39ca-b605-82c48cebb029,10.2307/struggles.1003338297,Workers unite against apartheid : Rally,contributed_images,ccda_text,[],,Posters,Images,,,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/20/05/7c636a09-7e82-4f65-a92f-9dbc5d714e8c.jp2,TRUE,"{""compilation"":[{""title"":""South African History Archive Posters"",""id"":""1003322582"",""path"":""/struggles-for-freedom/southern-africa/south-african-history-archive-posters-1003322582""}],""collection"":[{""title"":""Struggles for Freedom: Southern Africa"",""id"":""100046001"",""path"":""/primary-sources/southern-african""}],""portal"":[{""title"":""Primary Sources"",""id"":""100046000"",""path"":""/primary-sources""}]}"
1f427f8e-cd5b-3599-a4ed-b868640c9388,10.2307/j.ctt46mxtq.11,CHAPTER 8 From stamverwantschap to anti-apartheid:,book,chapter,"[""Vincent Kuitenbrouwer""]",Vincent Kuitenbrouwer,,,"[""Amsterdam University Press""]",,War of Words,Dutch Pro-Boer Propaganda and the South African War (1899-1902),,,,TRUE,"{""publisher"":[{""id"":""amsterdamup"",""title"":""Amsterdam University Press""}],""toc"":[{""id"":""10.2307/j.ctt46mxtq"",""title"":""War of Words: Dutch Pro-Boer Propaganda and the South African War (1899-1902)""}]}"
2309d8d9-645a-3592-b483-deb06338f49a,10.2307/j.ctt5vjxn1.8,3 CARSON AND HER SISTERS:,book,chapter,"[""ROBERT K. MUSIL""]",ROBERT K. MUSIL,,,"[""Rutgers University Press""]",,Rachel Carson and Her Sisters,Extraordinary Women Who Have Shaped America's Environment,,,,TRUE,"{""publisher"":[{""id"":""rutupress"",""title"":""Rutgers University Press""}],""toc"":[{""id"":""10.2307/j.ctt5vjxn1"",""title"":""Rachel Carson and Her Sisters: Extraordinary Women Who Have Shaped America's Environment""}]}"
25b85433-7275-3900-9928-a96cbda0bbbc,10.2307/community.1008930754,Annual commencement / Northwestern University.,contributed_documents,ccda_text,"[""Northwestern University (Evanston, Ill.)""]","Northwestern University (Evanston, Ill.)",Documents,Documents,"[""Evanston, Ill. : The University,""]",,,,,Northwestern University Collection,https://stor.stage.artstor.org/iiif/2022/01/07/18/9b29bc2c-2a74-4c88-a5f6-f5616b4ccbe6/pages/page-0_deflate.tif,TRUE,"{""collection"":[{""id"":""100600214"",""title"":""Northwestern University Collection"",""path"":""/northwesternuniversity/nwu-collection""}],""portal"":[{""id"":""100584074"",""title"":""Northwestern University"",""path"":""/northwesternuniversity""}]}"
2667588f-a139-3267-82d3-76ffe1708bde,10.2307/ithaka.org.1003748661,Pennsylvania College for Women 1924 Freshman Class Yearbook Photo ,contributed_images,ccda_text,"[""Chatham University""]",Chatham University,Photographs,Images,,,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/c969e94f-4819-4e68-ab0b-1b4f39bae7dc_deflate.tif,TRUE,"{""collection"":[{""title"":""Chatham University - Rachel Carson Collection Test"",""id"":""100117982"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""title"":""JSTOR Internal Test"",""id"":""100047621"",""path"":""/jstortestportal""}]}"
287cf943-76b3-3cb6-845c-96684dab7d07,10.2307/struggles.1003346545,Vote Against Apartheid,contributed_documents,ccda_text,"[""The Anti-Apartheid Movement""]",The Anti-Apartheid Movement,Circulars,Documents,,,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/19/19/9cfb8d3e-2f55-4c0f-b9aa-a302e0eeaa86.jp2,TRUE,"{""compilation"":[{""id"":""1003322637"",""title"":""Anti-Apartheid Movement Collection"",""path"":""/struggles-for-freedom/southern-africa/anti-apartheid-movement-collection-1003322637""}],""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}],""portal"":[{""id"":""100046000"",""title"":""Primary Sources"",""path"":""/primary-sources""}]}"
2a3c72fb-50c7-3d45-9f3d-63b8b989565b,10.2307/struggles.1003329632,Chief Albert J. Lutuli: Statements and Addresses,contributed_documents,ccda_text,"[""United Nations Centre against Apartheid""]",United Nations Centre against Apartheid,Reports,Documents,"[""Department of Political and Security Council Affairs""]",,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/20/03/e5a8fde9-3d2f-4830-a261-fbf755dbd54f.jp2,TRUE,"{""compilation"":[{""id"":""1003322569"",""title"":""United Nations Centre against Apartheid, Notes and Documents"",""path"":""/struggles-for-freedom/southern-africa/united-nations-centre-against-apartheid,-notes-and-documents-1003322569""}],""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}],""portal"":[{""id"":""100046000"",""title"":""Primary Sources"",""path"":""/primary-sources""}]}"
2b1796c5-624e-3742-9e8b-dd62cd9726b6,10.2307/1320972,"Visual Culture Isn't Just Visual: Multiliteracy, Multimodality and Meaning",journal,article,"[""Paul Duncum""]",Paul Duncum,,,"[""National Art Education Association""]",Studies in Art Education,,,,,,TRUE,"{""journal"":[{""id"":""studarteduc"",""title"":""Studies in Art Education""}],""issue"":[{""id"":""10.2307/i256765"",""title"":""Vol. 45, No. 3 (Spring, 2004)""}],""publisher"":[{""id"":""naea"",""title"":""National Art Education Association""}]}"
2c78453a-075e-3ce4-b5e3-055903b32dfc,10.2307/.1003323289,On Freedom Road,contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/22/08/04599577-aa20-4ddf-ba36-18b4bcac8ca6.jp2,TRUE,"{""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}]}"
2d750419-5b27-3a0d-ba8e-5203e4382a32,10.2307/struggles.1003324099,Mouvement anti-apartheid,contributed_images,ccda_text,[],,Posters,Images,,,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif/2019/08/21/23/83a104a7-0d13-4dd0-9e9c-be675be588a7.jp2,TRUE,"{""compilation"":[{""id"":""1003322582"",""title"":""South African History Archive Posters"",""path"":""/struggles-for-freedom/southern-africa/south-african-history-archive-posters-1003322582""}],""collection"":[{""id"":""100046001"",""title"":""Struggles for Freedom: Southern Africa"",""path"":""/primary-sources/southern-african""}],""portal"":[{""id"":""100046000"",""title"":""Primary Sources"",""path"":""/primary-sources""}]}"
2f128262-d219-376a-9bc8-a72759bb6dba,10.2307/.1003323299,View from Freedom Road,contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/22/08/c9f290b8-2d97-4b19-b4ab-fbd362f16b1f.jp2,TRUE,"{""collection"":[{""title"":""Struggles for Freedom: Southern Africa"",""id"":""100046001"",""path"":""/primary-sources/southern-african""}]}"
307e5e1d-9082-3a30-abb1-23636f8986d2,10.2307/41222488,Not So Fast with the DDT: Rachel Carson's warnings still apply,journal,article,"[""REED KARAIM""]",REED KARAIM,,,"[""The Phi Beta Kappa Society""]",The American Scholar,,,,,,TRUE,"{""journal"":[{""id"":""americanscholar"",""title"":""The American Scholar""}],""issue"":[{""id"":""10.2307/i40055020"",""title"":""Vol. 74, No. 3 (Summer 2005)""}],""publisher"":[{""id"":""pbk"",""title"":""The Phi Beta Kappa Society""}]}"
344fbc2a-f2e0-379a-95f4-abcc2d98c8e1,10.2307/struggles.1003323283,On Freedom Road,contributed_images,ccda_text,"[""Mackay, Peter""]","Mackay, Peter",Photographs,Images,"[""University of Stirling Archives""]",,,,,Struggles for Freedom: Southern Africa,https://stor.stage.artstor.org/iiif//2019/08/22/08/8d4c6dae-25fb-49fa-983d-714c54f77ad6.jp2,TRUE,"{""collection"":[{""title"":""Struggles for Freedom: Southern Africa"",""id"":""100046001"",""path"":""/primary-sources/southern-african""}],""portal"":[{""title"":""Struggles"",""id"":""100046000"",""path"":""/primary-sources""}]}"
35251e5a-0d1c-3f01-92ba-3f7c0b783729,10.2307/3984449,"Review Essay: Before, during, and after Silent Spring",journal,article,"[""Thomas R. Dunlap""]",Thomas R. Dunlap,,,"[""Forest History Society"", ""American Society for Environmental History"", ""Oxford University Press""]",Environmental Review: ER,,,,,,TRUE,"{""journal"":[{""id"":""envirevier"",""title"":""Environmental Review: ER""}],""issue"":[{""id"":""10.2307/i382136"",""title"":""Vol. 2, No. 6 (1977)""}],""publisher"":[{""id"":""fhs"",""title"":""Forest History Society""},{""id"":""aseh"",""title"":""American Society for Environmental History""},{""id"":""oup"",""title"":""Oxford University Press""}]}"
35bbfe43-25b1-324e-9340-46b2675ed445,10.2307/3392746,"Technology, the Road to Freedom",journal,article,"[""Gabriel D. Ofiesh""]",Gabriel D. Ofiesh,,,"[""Sage Publications, Inc."", ""MENC: The National Association for Music Education""]",Music Educators Journal,,,,,,TRUE,"{""journal"":[{""id"":""musiceducatorsj"",""title"":""Music Educators Journal""}],""issue"":[{""id"":""10.2307/i367629"",""title"":""Vol. 56, No. 7 (Mar., 1970)""}],""publisher"":[{""id"":""sage"",""title"":""Sage Publications, Inc.""},{""id"":""menc"",""title"":""MENC: The National Association for Music Education""}]}"
35ce77fb-86e0-3344-b5ea-741a01514aab,10.2307/25163077,Women's Roles in Nature Study and Environmental Protection,journal,article,"[""Vera Norwood""]",Vera Norwood,,,"[""Organization of American Historians"", ""Oxford University Press""]",OAH Magazine of History,,,,,,TRUE,"{""journal"":[{""id"":""maghist"",""title"":""OAH Magazine of History""}],""issue"":[{""id"":""10.2307/i25163073"",""title"":""Vol. 10, No. 3, Environmental History (Spring, 1996)""}],""publisher"":[{""id"":""oah"",""title"":""Organization of American Historians""},{""id"":""oup"",""title"":""Oxford University Press""}]}"
381f79b8-d4f8-3e69-8795-1ff78fa3f47c,10.2307/41740207,Archaeology Under Apartheid,journal,article,"[""Martin Hall""]",Martin Hall,,,"[""Archaeological Institute of America""]",Archaeology,,,,,,TRUE,"{""journal"":[{""id"":""archaeology"",""title"":""Archaeology""}],""issue"":[{""id"":""10.2307/i40081554"",""title"":""Vol. 41, No. 6 (November/December 1988)""}],""publisher"":[{""id"":""aia"",""title"":""Archaeological Institute of America""}]}"
3922b7cc-8376-395c-8666-7bd262874078,10.2307/ithaka.org.1003748627,"Letter from College President Edward Eddy to Rachel Carson on November 14, 1962 ",contributed_documents,ccda_text,"[""Edward D. Eddy (academician and administrator, 1921-1998)""]","Edward D. Eddy (academician and administrator, 1921-1998)",Letters (Correspondence),Documents,,,,,,Chatham University - Rachel Carson Collection Test,https://stor.stage.artstor.org/iiif//2019/11/26/20/480f059c-6a3a-4296-812a-b3bbc32ba341_deflate.tif,TRUE,"{""collection"":[{""id"":""100117982"",""title"":""Chatham University - Rachel Carson Collection Test"",""path"":""/jstortestportal/chatham-rachel-carson-test""}],""portal"":[{""id"":""100047621"",""title"":""JSTOR Internal Test"",""path"":""/jstortestportal""}]}"
3a7fd98e-f5bb-31d8-908c-5db19208c241,10.2307/3177802,Fetal Images: The Power of Visual Culture in the Politics of Reproduction,journal,article,"[""Rosalind Pollack Petchesky""]",Rosalind Pollack Petchesky,,,"[""Feminist Studies, Inc.""]",Feminist Studies,,,,,,TRUE,"{""journal"":[{""id"":""feministstudies"",""title"":""Feminist Studies""}],""issue"":[{""id"":""10.2307/i359111"",""title"":""Vol. 13, No. 2 (Summer, 1987)""}],""publisher"":[{""id"":""femstudies"",""title"":""Feminist Studies, Inc.""}]}"
